year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,saledate
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cc160965,nj,25,29902,gray,black,nissan-infiniti lt,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2005,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u253061437,va,2,171433,green,beige,nissan of stafford,Thu Jan 15 2015 01:35:00 GMT-0800 (PST)
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,,1fbss3bl6eda64754,ca,46,18612,white,gray,ford motor credit company,Wed Feb 18 2015 05:00:00 GMT-0800 (PST)
2007,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,wddng86x77a124085,tn,43,97840,gray,gray,essen motor company inc,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
2010,Toyota,4Runner,SR5,suv,,jtebu5jr1a5011418,pa,43,64404,black,black,r hollenshead auto sales inc,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dc191193,oh,46,37490,gold,tan,nissan-infiniti lt,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2012,Ford,Explorer,XLT,SUV,automatic,1fmhk8d80cga10904,nj,48,45099,black,tan,ford motor credit company llc,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
2012,Chevrolet,Traverse,LS,suv,automatic,1gnkrfed7cj321570,pa,45,45752,blue,gray,lease plan usa,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2012,BMW,M3,Base,Coupe,manual,wbskg9c58ce797680,pa,27,75050,gray,red,remarketing by ge/penske truck lsg fleet sales,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap3ec294143,tx,44,34604,black,beige,nissan motor acceptance corporation,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2011,Ford,Ranger,XL,Regular Cab,automatic,1ftkr1ad8bpa58504,ga,47,33646,gray,gray,ford-lincoln dealer program,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2012,Dodge,Grand Caravan,American Value Package,Minivan,automatic,2c4rdgbg8cr140922,nj,38,90550,—,black,wheels exchange llc,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2011,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug2b1373633,az,24,69929,gray,black,fiserv/security national automotive accept corp,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2012,Hyundai,Tucson,GLS,SUV,automatic,km8ju3ac6cu488558,fl,47,21103,gray,black,hyundai of new port richey,Thu Feb 12 2015 01:50:00 GMT-0800 (PST)
2011,Toyota,Highlander,SE,SUV,,5tdbk3eh2bs073311,pa,43,24318,silver,gray,r hollenshead auto sales inc,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2012,Nissan,Rogue,SV,SUV,,jn8as5mv4cw352831,pa,46,27298,white,gray,nissan-infiniti lt,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2007,BMW,5 Series,525xi,Sedan,automatic,wbanf33557cs39028,fl,28,147269,black,black,lexus of clearwater,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5ek3b1303660,az,28,67797,silver,black,vantage west credit union,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c5xba446632,ca,33,59604,black,black,financial services remarketing (lease),Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2011,BMW,5 Series,550i,Sedan,automatic,wbafr9c56bc757611,ca,37,25265,gray,beige,autobahn west enterprises inc,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2012,Ford,Escape,XLT,SUV,automatic,1fmcu9d79cka22466,tx,36,87118,white,gray,desert sun motors inc,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2000,Ford,Expedition,XLT,suv,automatic,1fmru1563ylb23554,tx,25,227286,blue,beige,autonation ford katy,Thu Jun 18 2015 07:00:00 GMT-0700 (PDT)
2009,BMW,X5,xDrive48i,SUV,automatic,5uxfe83549l171894,ca,42,110501,black,brown,mercedes benz of laguna niguel,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
